"component","event","samples","avg_elapsed_ms","avg_bytes_in","avg_bytes_out","ok_rate_pct"
"robot_a","run_session","6","67.962","87","160","100"
"robot_a","step1","6","0.181","0","376","100"
"robot_a","step1_ack","6","34.078","307","0","100"
"robot_a","step2_ack","6","54.162","306","0","100"
"robot_a","step3_ack","6","80.475","275","0","100"
"robot_a","step5","6","96.125","0","0","100"
"robot_b","step2","12","0.112","323","322","100"
"server","register","24","0.15","83","64","100"
"server","step1","12","0.092","394","323","100"
"server","step3","12","0.089","322","287","100"
