component,event,elapsed_ms,bytes_in,bytes_out,ok
robot_a,run_session,55.049,87,160,1
robot_a,run_session,43.424,87,160,1
robot_a,run_session,39.054,87,160,1
robot_a,run_session,45.791,87,160,1
robot_a,run_session,95.629,87,160,1
robot_a,run_session,128.824,87,160,1
robot_a,step1,0.251,0,376,1
robot_a,step1_ack,67.972,307,0,1
robot_a,step2_ack,93.911,306,0,1
robot_a,step3_ack,123.984,275,0,1
robot_a,step5,138.036,0,0,1
robot_a,step1,0.145,0,376,1
robot_a,step1_ack,32.311,307,0,1
robot_a,step2_ack,54.627,306,0,1
robot_a,step3_ack,79.854,275,0,1
robot_a,step5,92.952,0,0,1
robot_a,step1,0.109,0,376,1
robot_a,step1_ack,29.433,307,0,1
robot_a,step2_ack,49.284,306,0,1
robot_a,step3_ack,74.746,275,0,1
robot_a,step5,91.379,0,0,1
robot_a,step1,0.332,0,376,1
robot_a,step1_ack,34.192,307,0,1
robot_a,step2_ack,49.066,306,0,1
robot_a,step3_ack,76.303,275,0,1
robot_a,step5,85.842,0,0,1
robot_a,step1,0.145,0,376,1
robot_a,step1_ack,22.508,307,0,1
robot_a,step2_ack,43.162,306,0,1
robot_a,step3_ack,71.395,275,0,1
robot_a,step5,95.936,0,0,1
robot_a,step1,0.105,0,376,1
robot_a,step1_ack,18.053,307,0,1
robot_a,step2_ack,34.923,306,0,1
robot_a,step3_ack,56.570,275,0,1
robot_a,step5,72.605,0,0,1
robot_a,step1,0.092,0,376,1
robot_a,step1_ack,13.360,307,0,1
robot_a,step2_ack,35.061,306,0,1
robot_a,step3_ack,55.438,275,0,1
robot_a,step5,72.774,0,0,1
robot_a,step1,0.106,0,376,1
robot_a,step1_ack,23.344,307,0,1
robot_a,step2_ack,40.149,306,0,1
robot_a,step3_ack,67.336,275,0,1
robot_a,step5,85.641,0,0,1
robot_a,step1,0.160,0,376,1
robot_a,step1_ack,32.526,307,0,1
robot_a,step2_ack,63.195,306,0,1
robot_a,step3_ack,81.039,275,0,1
robot_a,step5,94.909,0,0,1
robot_a,step1,0.249,0,376,1
robot_a,step1_ack,39.146,307,0,1
robot_a,step2_ack,62.890,306,0,1
robot_a,step3_ack,92.781,275,0,1
robot_a,step5,110.562,0,0,1
robot_a,step1,0.285,0,376,1
robot_a,step1_ack,33.165,307,0,1
robot_a,step2_ack,54.602,306,0,1
robot_a,step3_ack,84.237,275,0,1
robot_a,step5,103.067,0,0,1
robot_a,step1,0.897,0,376,1
robot_a,step1_ack,69.245,307,0,1
robot_a,step2_ack,100.258,306,0,1
robot_a,step3_ack,134.362,275,0,1
robot_a,step4,144.931,0,0,1
robot_a,step5,176.544,0,0,1
robot_a,step1,0.264,0,376,1
robot_a,step1_ack,60.482,307,0,1
robot_a,step2_ack,79.376,306,0,1
robot_a,step3_ack,104.319,275,0,1
robot_a,step4,0.064,0,0,1
robot_a,step5,149.514,0,0,1
