component,event,elapsed_ms,bytes_in,bytes_out,ok
robot_b,step2,0.112,323,322,1
robot_b,step2,0.082,323,322,1
robot_b,step2,0.100,323,322,1
robot_b,step2,0.107,323,322,1
robot_b,step2,0.128,323,322,1
robot_b,step2,0.145,323,322,1
robot_b,step2,0.148,323,322,1
robot_b,step2,0.074,323,322,1
robot_b,step2,0.080,323,322,1
robot_b,step2,0.158,323,322,1
robot_b,step2,0.108,323,322,1
robot_b,step2,0.101,323,322,1
robot_b,step2,0.069,323,322,1
robot_b,step2,0.076,323,322,1
robot_b,step2,0.106,323,322,1
robot_b,step2,0.158,323,322,1
robot_b,step2,0.154,323,322,1
robot_b,step2,0.435,323,322,1
robot_b,step2,0.106,323,322,1
